"time (s)","velocity (m/s)"
8.290000,    -17.679689
8.300000,    -17.679727
8.310000,    -17.679765
8.320000,    -17.679802
8.330000,    -17.679839
8.340000,    -17.679875
8.350000,    -17.679911
8.360000,    -17.679947
8.370000,    -17.679982
8.380000,    -17.680016
8.390000,    -17.680051
8.400000,    -17.680085
8.410000,    -17.680119
8.420000,    -17.680152
8.430000,    -17.680185
8.440000,    -17.680217
8.450000,    -17.680249
8.460000,    -17.680281
8.470000,    -17.680313
8.480000,    -17.680344
8.490000,    -17.680374
8.500000,    -17.680405
8.510000,    -17.680435
8.520000,    -17.680465
8.530000,    -17.680494
8.540000,    -17.680523
8.550000,    -17.680552
8.560000,    -17.680580
8.570000,    -17.680609
8.580000,    -17.680636
8.590000,    -17.680664
8.600000,    -17.680691
8.610000,    -17.680718
8.620000,    -17.680745
8.630000,    -17.680771
8.640000,    -17.680797
8.650000,    -17.680823
8.660000,    -17.680848
8.670000,    -17.680873
8.680000,    -17.680898
8.690000,    -17.680923
8.700000,    -17.680947
8.710000,    -17.680971
8.720000,    -17.680995
8.730000,    -17.681019
8.740000,    -17.681042
8.750000,    -17.681065
8.760000,    -17.681088
8.770000,    -17.681110
8.780000,    -17.681132
8.790000,    -17.681154
8.800000,    -17.681176
8.810000,    -17.681198
8.820000,    -17.681219
8.830000,    -17.681240
8.840000,    -17.681261
8.850000,    -17.681281
8.860000,    -17.681302
8.870000,    -17.681322
8.880000,    -17.681342
8.890000,    -17.681361
8.900000,    -17.681381
8.910000,    -17.681400
8.920000,    -17.681419
8.930000,    -17.681438
8.940000,    -17.681457
8.950000,    -17.681475
8.960000,    -17.681493
8.970000,    -17.681511
8.980000,    -17.681529
8.990000,    -17.681547
9.000000,    -17.681564
9.010000,    -17.681581
9.020000,    -17.681598
9.030000,    -17.681615
9.040000,    -17.681632
9.050000,    -17.681648
9.060000,    -17.681665
9.070000,    -17.681681
9.080000,    -17.681697
9.090000,    -17.681712
9.100000,    -17.681728
9.110000,    -17.681743
9.120000,    -17.681759
9.130000,    -17.681774
9.140000,    -17.681789
9.150000,    -17.681803
9.160000,    -17.681818
9.170000,    -17.681832
9.180000,    -17.681847
9.190000,    -17.681861
9.200000,    -17.681875
9.210000,    -17.681888
9.220000,    -17.681902
9.230000,    -17.681915
9.240000,    -17.681929
9.250000,    -17.681942
9.260000,    -17.681955
9.270000,    -17.681968
9.280000,    -17.681981
9.290000,    -17.681993
9.300000,    -17.682006
9.310000,    -17.682018
9.320000,    -17.682030
9.330000,    -17.682042
9.340000,    -17.682054
9.350000,    -17.682066
9.360000,    -17.682078
9.370000,    -17.682089
9.380000,    -17.682101
9.390000,    -17.682112
9.400000,    -17.682123
9.410000,    -17.682134
9.420000,    -17.682145
9.430000,    -17.682156
9.440000,    -17.682166
9.450000,    -17.682177
9.460000,    -17.682187
9.470000,    -17.682198
9.480000,    -17.682208
9.490000,    -17.682218
9.500000,    -17.682228
9.510000,    -17.682238
9.520000,    -17.682247
9.530000,    -17.682257
9.540000,    -17.682267
9.550000,    -17.682276
9.560000,    -17.682285
9.570000,    -17.682295
9.580000,    -17.682304
9.590000,    -17.682313
9.600000,    -17.682322
9.610000,    -17.682330
9.620000,    -17.682339
9.630000,    -17.682348
9.640000,    -17.682356
9.650000,    -17.682365
9.660000,    -17.682373
9.670000,    -17.682381
9.680000,    -17.682389
9.690000,    -17.682398
9.700000,    -17.682405
9.710000,    -17.682413
9.720000,    -17.682421
9.730000,    -17.682429
9.740000,    -17.682437
9.750000,    -17.682444
9.760000,    -17.682452
9.770000,    -17.682459
9.780000,    -17.682466
9.790000,    -17.682473
9.800000,    -17.682481
9.810000,    -17.682488
9.820000,    -17.682495
9.830000,    -17.682501
9.840000,    -17.682508
9.850000,    -17.682515
9.860000,    -17.682522
9.870000,    -17.682528
9.880000,    -17.682535
9.890000,    -17.682541
9.900000,    -17.682548
9.910000,    -17.682554
9.920000,    -17.682560
9.930000,    -17.682566
9.940000,    -17.682572
